Student_ID,Application_ID,Registration_Code,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
ST202603036,APP1000803,REG-ABSM2,Single,Change of course,1,Social Service,Daytime,Technological specialization course,120.0,Portuguese,Higher Education - Bachelor's Degree,Secondary Education - 12th Year of Schooling or Eq.,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",Specialists in Intellectual and Scientific Activities,118.6,No,No,No,Yes,Male,No,21,No,9,11,14,10,12.4,0,6,10,13,10,11.8,0,13.9,-0.3,0.79,Graduate
ST202602902,APP1002222,REG-ZEDE1,Single,Over 23 years old,1,Equinculture,Daytime,,133.1,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Other Situation,"Representatives of the Legislative Power and Executive Bodies, Directors, Directors and Executive Managers",120.0,Yes,No,Yes,No,male,No,41,No,0,5,5,0,0.0,1,0,5,5,0,0.0,5,12.7,3.7,-1.7,Dropout
ST202602203,APP1000088,REG-GN22Y,Single,Technological specialization diploma holders,1,Agronomy,Daytime,Technological specialization course,140.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",140.0,No,No,No,Yes,MALE,No,21,No,0,6,13,4,11.75,0,0,6,15,4,10.5,0,15.5,2.8,-4.06,Enrolled
ST202604064,APP1001900,REG-R3Z1D,Single,1st phase - special contingent (Madeira Island),1,Communication Design,Daytime,Secondary education,125.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,Administrative staff,120.8,Yes,No,No,Yes,Female,No,18,No,0,6,6,6,14.5,0,0,6,6,6,12.833333333333334,0,12.4,0.5,1.79,Graduate
ST202602100,APP1000866,REG-WEY9J,Single,2nd phase - general contingent,1,Nursing,Daytime,Secondary education,142.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",131.3,Yes,No,No,Yes,Female,No,19,No,0,8,8,7,14.731428571428571,0,0,8,8,7,14.731428571428571,0,10.8,1.4,1.74,Graduate
ST202602156,APP1001482,REG-WIBJU,Single,2nd phase - general contingent,1,Social Service,Daytime,Secondary education,126.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Installation and Machine Operators and Assembly Workers,116.9,Yes,No,No,Yes,F,No,21,No,0,6,11,6,10.375,0,0,6,12,3,11.666666666666666,0,12.7,3.7,-1.7,Enrolled
ST202604391,APP1003353,REG-W1WJX,Single,1st phase - general contingent,3,Advertising and Marketing Management,Daytime,Secondary education,134.0,Portuguese,10th Year of Schooling,7th Year (Old),Student,Student,999.0,Yes,No,No,No,Male,No,19,N,0,5,5,0,0.0,0,0,4,4,0,0.0,0,7.6,2.6,0.32,Dropout
ST202600572,APP1001026,REG-SH4OE,Single,3rd phase - general contingent,4,Basic Education,Daytime,Secondary education,118.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,"Farmers and Skilled Workers in Agriculture, Fisheries and Forestry",111.4,Yes,No,Yes,No,Female,No,20,No,0,7,9,0,0.0,0,0,6,6,0,0.0,0,11.1,0.6,2.02,Dropout
ST202601071,APP1001009,REG-DOCIR,Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,133.1,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic education 1st cycle (4th/5th year) or equiv.,Student,Student,137.0,Yes,No,No,Yes,Female,No,19,No,0,6,10,0,0.0,4,0,6,0,0,0.0,0,7.6,2.6,0.32,Dropout
ST202602564,APP1001522,REG-MPMEH,Single,2nd phase - general contingent,2,Tourism,Daytime,Secondary education,140.0,Portuguese,Higher Education - Degree,Higher Education - Degree,Specialists in Intellectual and Scientific Activities,Specialists in Intellectual and Scientific Activities,124.3,No,NO,No,No,Male,No,18,No,0,6,9,5,11.2,0,0,6,14,2,10.0,0,9.4,-0.8,-3.12,Dropout
ST202600545,APP1000387,REG-FARN4,Single,1st phase - general contingent,2,Nursing,Daytime,Secondary education,145.0,Portuguese,Higher Education - Master's,Higher Education - Bachelor's Degree,,Intermediate Level Technicians and Professions,127.3,Yes,No,No,Yes,Male,No,18,No,0,8,8,7,11.69,0,0,8,8,7,11.69,0,10.8,1.4,1.74,Graduate
ST202601410,APP1003945,REG-X1FLM,single,2nd phase - general contingent,1,Tourism,Daytime,Secondary education,136.0,Portuguese,Basic education 1st cycle (4th/5th year) or equiv.,Basic education 1st cycle (4th/5th year) or equiv.,"Skilled Workers in Industry, Construction and Craftsmen","Skilled Workers in Industry, Construction and Craftsmen",121.7,Yes,No,No,Yes,Female,No,20,No,0,6,13,3,10.333333333333334,0,0,6,12,3,10.333333333333334,0,10.8,1.4,1.74,Enrolled
ST202604144,APP1000092,REG-H1KO6,Single,1st phase - general contingent,1,Nursing,Daytime,Secondary education,129.0,Portuguese,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,Basic Education 2nd Cycle (6th/7th/8th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",120.8,Yes,No,No,Yes,Female,Yes,20,No,0,8,8,7,12.744285714285716,0,0,8,8,7,12.744285714285716,0,10.8,1.4,1.74,Graduate
ST202602625,APP1004281,REG-T8BYP,Single,1st phase - general contingent,1,Social Service,Daytime,Secondary education,117.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Unskilled Workers,Unskilled Workers,111.8,Yes,No,No,Yes,M,No,19,No,0,6,9,4,11.5,0,0,6,12,3,11.0,0,8.9,1.4,3.51,Dropout
ST202602051,APP1002399,REG-BIFLW,Single,2nd phase - general contingent,1,Equinculture,Daytime,Secondary education,130.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Secondary Education - 12th Year of Schooling or Eq.,Administrative staff,"Personal Services, Security and Safety Workers and Sellers",123.8,No,No,No,Yes,Female,No,18,N,0,5,7,4,12.0,0,0,5,6,5,12.0,0,7.6,2.6,0.32,Graduate
ST202601419,APP1002672,REG-CU5X0,Single,Short cycle diploma holders,1,Agronomy,Daytime,Secondary education,130.0,Portuguese,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,Secondary Education - 12th Year of Schooling or Eq.,Unskilled Workers,Unskilled Workers,130.0,No,no,Yes,Yes,Male,No,21,No,7,12,20,10,11.8,0,5,12,15,9,11.444444444444445,0,8.9,1.4,3.51,Enrolled
ST202600137,APP1004082,REG-EOM62,Single,1st phase - general contingent,1,Nursing,Daytime,,127.0,Portuguese,Higher Education - Degree,Secondary Education - 12th Year of Schooling or Eq.,Specialists in Intellectual and Scientific Activities,Installation and Machine Operators and Assembly Workers,121.4,No,No,No,Yes,Male,No,20,No,0,7,10,5,13.976666666666668,0,0,8,9,8,13.22222222222222,0,12.4,0.5,1.79,Enrolled
ST202603728,APP1001548,REG-PRN8L,Single,2nd phase - general contingent,2,Tourism,Daytime,Secondary education,107.0,Portuguese,Other - 11th Year of Schooling,Basic Education 3rd Cycle (9th/10th/11th Year) or Equiv.,"Personal Services, Security and Safety Workers and Sellers","Personal Services, Security and Safety Workers and Sellers",102.8,Yes,No,No,Yes,Female,No,20,No,0,6,16,1,10.0,0,0,6,12,0,0.0,0,10.8,1.4,1.74,Dropout
ST202603560,APP1003834,REG-WB8J4,Single,1st phase - general contingent,1,Basic Education,Daytime,Secondary education,160.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Basic education 1st cycle (4th/5th year) or equiv.,Unskilled Workers,Unskilled Workers,146.0,Yes,No,No,Yes,Female,No,19,No,0,6,11,3,10.333333333333334,0,0,6,10,5,11.8,0,9.4,-0.8,-3.12,Enrolled
ST202603664,APP1000185,REG-PG84D,Single,Change of course,1,Journalism and Communication,Daytime,Secondary education,121.0,Portuguese,Secondary Education - 12th Year of Schooling or Eq.,Higher Education - Degree,Unskilled Workers,Intermediate Level Technicians and Professions,123.8,No,No,No,No,Male,No,22,NO,0,4,4,0,0.0,4,0,5,8,3,12.0,0,10.8,1.4,1.74,Dropout
